epoch,step,train_loss,val_loss,val_mae,val_rmse
0,4,8.283082962036133,,,
0,9,3.17195725440979,,,
0,14,5.889744758605957,,,
0,19,5.206341743469238,,,
0,24,4.344081401824951,,,
0,29,3.642629861831665,,,
0,34,4.485713958740234,,,
0,39,3.26515531539917,,,
0,44,4.673243999481201,,,
0,49,3.789206027984619,,,
0,54,4.8774847984313965,,,
0,59,4.1354522705078125,,,
0,64,3.453899621963501,,,
0,69,5.5804314613342285,,,
0,74,4.752575874328613,,,
0,79,3.4732859134674072,,,
0,84,3.9826791286468506,,,
0,89,5.3677873611450195,,,
0,94,3.499448299407959,,,
0,99,5.998862266540527,,,
0,104,3.637479543685913,,,
0,109,6.395994663238525,,,
0,114,3.527848482131958,,,
0,119,3.120223045349121,,,
0,124,4.096704006195068,,,
0,129,4.011014938354492,,,
0,134,5.276674270629883,,,
0,139,4.012263298034668,,,
0,144,3.968754768371582,,,
0,149,5.642312049865723,,,
0,154,4.129817485809326,,,
0,159,3.892754554748535,,,
0,164,4.185910224914551,,,
0,169,3.5672550201416016,,,
0,174,3.9560012817382812,,,
0,179,4.300239562988281,,,
0,184,4.295689582824707,,,
0,189,3.9254674911499023,,,
0,194,4.2425312995910645,,,
0,199,4.292107582092285,,,
0,204,3.775515079498291,,,
0,209,3.8570351600646973,,,
0,214,3.9568066596984863,,,
0,219,3.385735511779785,,,
0,224,4.438209533691406,,,
0,229,3.912975549697876,,,
0,234,4.263354301452637,,,
0,239,5.172534465789795,,,
0,244,3.651768684387207,,,
0,249,3.891019344329834,,,
0,254,3.798311948776245,,,
0,259,4.086604118347168,,,
0,264,4.559040069580078,,,
0,269,3.6873245239257812,,,
0,274,4.466833591461182,,,
0,279,3.664867401123047,,,
0,284,4.3690876960754395,,,
0,289,4.097677707672119,,,
0,294,4.545153617858887,,,
0,299,3.5872273445129395,,,
0,304,4.515825271606445,,,
0,309,4.199265956878662,,,
0,314,4.3491411209106445,,,
0,319,3.426769495010376,,,
0,324,3.356637954711914,,,
0,329,4.371493339538574,,,
0,334,3.5228121280670166,,,
0,339,4.452550888061523,,,
0,344,4.0199432373046875,,,
0,349,3.8047752380371094,,,
0,350,,4.102900505065918,4.0834503173828125,5.812075138092041
1,354,4.69083309173584,,,
1,359,4.349276542663574,,,
1,364,4.213168144226074,,,
1,369,3.190098524093628,,,
1,374,4.011415481567383,,,
1,379,3.7824535369873047,,,
1,384,5.836634159088135,,,
1,389,3.386282444000244,,,
1,394,5.675015926361084,,,
1,399,3.7072863578796387,,,
1,404,4.164475917816162,,,
1,409,3.307590961456299,,,
1,414,3.5763049125671387,,,
1,419,4.544441223144531,,,
1,424,4.712406158447266,,,
1,429,3.6237354278564453,,,
1,434,4.56781005859375,,,
1,439,3.9079878330230713,,,
1,444,3.910611867904663,,,
1,449,4.376587867736816,,,
1,454,4.081742286682129,,,
1,459,3.164957284927368,,,
1,464,4.039690017700195,,,
1,469,3.708789348602295,,,
1,474,4.364886283874512,,,
1,479,4.081687927246094,,,
1,484,4.0942702293396,,,
1,489,3.9845027923583984,,,
1,494,3.6814491748809814,,,
1,499,4.497724533081055,,,
1,504,3.2580814361572266,,,
1,509,4.424854755401611,,,
1,514,3.7993884086608887,,,
1,519,4.530805587768555,,,
1,524,3.9749040603637695,,,
1,529,4.707547664642334,,,
1,534,3.7769179344177246,,,
1,539,3.696903944015503,,,
1,544,3.995516300201416,,,
1,549,3.8110222816467285,,,
1,554,5.736057758331299,,,
1,559,3.8268089294433594,,,
1,564,3.6202709674835205,,,
1,569,3.31843900680542,,,
1,574,4.025696754455566,,,
1,579,3.7551207542419434,,,
1,584,5.384082794189453,,,
1,589,3.995513916015625,,,
1,594,3.4762039184570312,,,
1,599,3.5813262462615967,,,
1,604,6.236645221710205,,,
1,609,3.859760284423828,,,
1,614,4.582630157470703,,,
1,619,4.035506248474121,,,
1,624,3.2099928855895996,,,
1,629,4.165214538574219,,,
1,634,3.6344282627105713,,,
1,639,4.581023216247559,,,
1,644,4.369525909423828,,,
1,649,3.287712574005127,,,
1,654,3.770693302154541,,,
1,659,4.06430196762085,,,
1,664,5.080180644989014,,,
1,669,3.2515487670898438,,,
1,674,3.690556049346924,,,
1,679,4.370696067810059,,,
1,684,4.250383377075195,,,
1,689,3.6647491455078125,,,
1,694,4.5428690910339355,,,
1,699,4.306521415710449,,,
1,701,,3.9265971183776855,4.0834503173828125,5.812075138092041
2,704,4.047107696533203,,,
2,709,3.8676934242248535,,,
2,714,3.8823351860046387,,,
2,719,4.025536060333252,,,
2,724,4.84173583984375,,,
2,729,3.9054412841796875,,,
2,734,4.6153564453125,,,
2,739,3.856088638305664,,,
2,744,4.632743835449219,,,
2,749,4.025346755981445,,,
2,754,3.924981117248535,,,
2,759,5.009348392486572,,,
2,764,4.260047912597656,,,
2,769,3.8936173915863037,,,
2,774,4.246501922607422,,,
2,779,3.2863407135009766,,,
2,784,3.9760119915008545,,,
2,789,4.593311309814453,,,
2,794,3.9714949131011963,,,
2,799,4.193997383117676,,,
2,804,3.9223380088806152,,,
2,809,3.8687005043029785,,,
2,814,3.7542333602905273,,,
2,819,4.154712677001953,,,
2,824,3.93070912361145,,,
2,829,5.544065952301025,,,
2,834,3.9318952560424805,,,
2,839,3.293829917907715,,,
2,844,4.590911865234375,,,
2,849,3.6755313873291016,,,
2,854,3.9215965270996094,,,
2,859,3.665576934814453,,,
2,864,3.9146409034729004,,,
2,869,4.6207404136657715,,,
2,874,4.134526252746582,,,
2,879,4.202441692352295,,,
2,884,3.5302462577819824,,,
2,889,3.974318265914917,,,
2,894,5.120783805847168,,,
2,899,3.976161479949951,,,
2,904,4.2111735343933105,,,
2,909,4.040529251098633,,,
2,914,3.848869800567627,,,
2,919,3.499978542327881,,,
2,924,4.266507625579834,,,
2,929,3.971205949783325,,,
2,934,3.9766573905944824,,,
2,939,4.120080471038818,,,
